# Super-LOTIS observations are in BVRI for each epoch.  
#  A '99' for the SL column means there were observations, but MWV doesn't know how many.
#Name                    semester    RA            Dec      z       approxTmax n_J n_H n_K Host_J  Host_H  Host_K Super-LOTIS comments
LSQ14act                 2014A  15:59:44.65   -10:26:40.8   0.06     20140308   0   3   0  ...       ...       NA        ...  "ATel 5961"
CSS140425:161024+470440  2014A  16:10:23.61   +47:04:40.3   0.03     20140503   5   5   0  ...       ...       NA          9  "CBET 3866; SN 2014aw"
PS1-14xw                 2014A  16:52:57.63   +02:23:36.5   0.02     20140505   4   4   3  ...       ...       ...         9  "CBAT TOCP J16525760+0223367.html; ATel 6107"
CSS140501:170414+174839  2014A  17:04:13.69   +17:48:39.4   0.07     20140507   3   3   0  ...       ...       NA        ...  "ATel 6118; CRTS"
PSNJ15024996+4847062     2014A  15:02:49.96   +48:47:06.2   0.02614  20140520   4   4   4  ...       ...       ...        11  "CBAT TOCP J15024996+4847062.html; ATel 6140"
ASASSN-14ay              2014A  15:57:03.15   +37:24:57.78  0.030869 20140521   4   4   0  2015A     2015A     NA          8  "ATel 6152"
iPTF14bdn                2014A  13:30:44.88   +32:45:42.4   0.01558  20140610   3   3   3  2015A     2015A     2015A     ...  "ATel 6175"
ASASSN-14in              2014B  18:24:29.61   +52:26:32.83  0.033    20141012   1   1   0  ...       ...       NA         25  "ATel 6545, ATel 6539"
LSQ14fmg                 2014B  22:16:46.1    +15:21:14.1   0.06     20141012   1   1   0  ...       ...       NA        ...  "ATel 6495, 99ac-like"
iPTF14gdr                2014B  00:27:58.35   -05:12:59.5   0.07     20141005   1   1   0  2015B     2015B     NA        99  "ATel 6534"
SN2014dk                 2014B  00:28:11.96   +07:09:43.9   0.038    20141007   1   1   0  ...       ...       NA        99  "CBET 3994, ATel 6503 + P.Milne, CSS140925:002812+070944, PSNJ00281196+0709439, iPTF14fpg (ATel 6534)"
SN2014dm                 2014B  04:08:07.12   -08:49:37.1   0.033    20140928   1   1   0  2015B     2015B     NA         11  "ATel 6516,  PSNJ04080713-0849372  CBET 3996,3999"
iPTF14gnl                2014B  00:23:48.33   -03:51:27.9   0.05     20141023   1   1   0  ...       ...       NA         43  "ATel 6598"
SNhunt263                2014B  09:08:42.48   +44:48:13.2   0.0268   20141030   2   2   2  ...       ...       ...        40  "ATel 6628, PSNJ09084248+4448132, CSS141026:090842+444815"
ASASSN-14iu              2014B  09:10:39.53   +50:22:48.26  0.016855 20141013   1   1   1  ...       ...       ...        61  "ATel 6571"
LSQ14gde                 2014B  01:00:42.49   -14:59:33.3   0.061    20141130   2   2   0  2015B     2015B     NA        99  "ATel 6769"
PSNJ03034759+0024146     2014B  03:03:47.9    +00:24:14.6   0.04     20141119   3   3   0  ...       ...       NA        ...  "ATel 6757"
PSNJ10292799+2200468     2014B  10:29:27.99   +22:00:46.8   0.05445  20141122   3   3   0  ...       ...       NA          9  "ATel 6748"
CSS141123:091002+521856  2014B  09:10:02      +52:18:56     0.0405   20141123   4   4   2  2015B     2015B     2015B       9  "ATel 6757"
PSNJ08351668+4819011     2014B  08:35:16.68   +48:19:01.1   0.043    20150104   3   4   2  ...       ...       ...         1  "ATel 6852"
PS15mb                   2015A  08:59:40.20   +15:11:12.5   0.029    20150314   4   4   2  ...       ...       ...         9  "ATEL 7219, 7228, 7229, 7234"
PS15mt                   2015A  09:54:44.17   +23:11:53.1   0.071    20150324   4   4   0  2015B     2015B     NA         12  "ATel 7250"
ASASSN-15fj              2015A  17:10:08.55   +74:43:42.60  0.045    20150316   4   6   0  ...       ...       NA          6  "ATel 7257, 7287"
PSNJ08593491+4555343     2015A  08:59:34.91   +45:55:34.3   0.028    20150316   4   4   3  2015B     2015B     2015B      11  "ATel 7222, 7234"
PS15sv                   2015A  16:13:11.74   +01:35:31.1   0.033    20150402   3   3   1  ...       ...       ...       ...  "91T-like, ATel 7308, 7280"
ASASSN-15fs              2015A  18:58:40.816  +43:28:07.88  0.02902  20150401   6   6   3  2015B     2016A     ...         4  "ATel 7306, 7296"
LSQ15aae                 2015A  16:30:15.70   +05:55:58.73  0.05     20150402   1   1   0  ...       ...       NA          3  "Ia-91T,  ATel 7325; LSQ disc 2015-03-19, spec 2015-03-30 said pre-max"
iPTF15xi                 2015A  12:12:27.85   +32:09:54.5   0.04     20150327   3   3   0  ...       ...       NA        99  "ATel 7343,  CSS150322:121228+320954"
SN2015G                  2015A  20:37:25.57   +66:07:11.68  0.004750 20150410   2   2   2  ...       ...       ...       99  "Type Ibn; Not a Ia"
ASASSN-15ho              2015A  09:09:23.89   -04:43:30.10  0.0460   20150422   3   3   0  ...       ...       NA        ...  "ATEL 7426,7432"
ASASSN-15hg              2015A  09:53:48.62   +09:11:37.8   0.029771 20150420   3   3   1  ...       ...       ...       ...  "ATEL 7413, ATEL 7420, ATEL 7421"
PS15aez                  2015A  11:00:09.77   +05:33:48.5   0.056    20150423   4   4   0  2016A     2015B     NA        ...  "ATel 7440, 7437"

# Comet168P                  2012B    ...    ...    ...    ...    2    2    2       NA      NA    NA          ...     "Comet"

# ASASSN-15fr              2015A           09:20:20.44  -07:38:26.78    0.033436   20150330    1      17.00 17.01 16.98 17.39 17.62 17.80 17.63  16     16             ... | 91T-like, ATel 7281, 7305, Yes WTTM
# ASASSN-15fa              2015A           17:09:46.03  +62:58:27.0     0.02741    20150321    10     17.15 16.84 16.97 17.40 17.54 17.54 17.40  16     16     16        3 | ATEL 7253, 91T-like, Yes WTTM with offset
# SN2014dl                 2014B           16:29:46.09  +08:38:30.6     0.03297    20141004      0       0       0       ...     ...     ...         16     "CBET 3995, 91T-like"
# Standard Stars
P212-C      2013A    10:06:28.872    +41:01:24.57   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS"
S791-C      2013A    13:17:29.320    -05:32:39.13   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS; Position updated to SweetSpot"
P330-E      2013A    16:31:33.821    +30:08:46.05   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS; Position updated to SweetSpot"
P525-E      2012B    00:24:28.463    +07:49:00.53   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS"
P161-D      2012B    07:00:51.805    +48:29:23.15   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS"
S840-F      2013B    05:42:32.144    +00:09:01.95   0.0      ...          99   99   99   ... ... ...       ...     "Persson standard star; Position updated to 2MASS"
#*semester of first observation
#**redshift most likely taken from ATEL or CBET.  Will have to get host galaxy z's for any tables in publications.
